dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Churn Modelling,msbm,0.17609591480913758,0.35447027414585874,0.11379013218859346,0.004833581625240946,0.0026315128149047387,0.2830867965091095,0.001235152032446167,0.0003686009198719584,12.06361436843872,0.7586068371911203,0.44320712694877507,-41.57617553384702,-0.31539971024234525,4,,,,
Churn Modelling,msbm,0.17608466097553527,0.364116884461759,0.09938167206534902,0.0044948325725544525,0.0022593754272629317,0.24337951830062696,0.0006259500413122535,0.001031788846157899,12.363708782196046,0.7606106080074237,0.44451678334682165,-41.5426477569874,-0.316093824660602,mean,,,,
Auto MPG,msbm,0.3552047740621967,0.8595584625453545,3.278216418612588,0.12172110920376306,0.09444477139334471,0.7530811914160376,,,5.882826089859009,,,,,0,0.8414647733925951,-0.354593353384002,-142.14001163166486,-1.196058126776597
Auto MPG,msbm,0.21256548442252882,0.9677803552413163,3.357266320038483,0.08674818063464262,0.12662732688687275,0.6214432639383405,,,6.101382732391357,,,,,1,0.8479528601939036,0.016899781428834637,-98.00699045640697,-0.831053078765069
Auto MPG,msbm,0.2015899794093622,0.7215606727796636,3.2006824934016787,0.08524101923624844,0.10880613251854165,0.594362477258109,,,5.907258749008179,,,,,2,0.8912168474942694,-0.014871031253726796,-101.66862097541558,-0.9060878787479962
Auto MPG,msbm,0.2915793182303445,1.0638900997853518,3.522878134071682,0.09874174855713774,0.11922768846872682,0.7457152595209033,,,6.180612325668335,,,,,3,0.8832770267798615,0.12169527371839373,-86.22229832445039,-0.7615817530614678
Auto MPG,msbm,0.21911151140592605,0.9632377724648744,3.286325151223372,0.08749728848775373,0.07397610843204745,0.5880365048374753,,,6.2034735679626465,,,,,4,0.8917426640616316,-0.012370151777850058,-101.387188510361,-0.9041128158394817
Auto MPG,msbm,0.25601021350607167,0.9152054725633121,3.329073703469561,0.09598986922390912,0.10461640553990667,0.6605277393941731,,,6.055110692977905,,,,,mean,0.8711308343844522,-0.048647896253670095,-105.88502197965977,-0.9197787306381224
Diamonds,msbm,0.19029950572672513,0.3405391953006603,4.301026667839242,0.08442325948531165,,,0.0008229875751911297,0.030691410352444114,40.77484917640686,,,,,0,0.9831093936116152,-0.08575802461517701,-108.72314161297257,-1.0688674182267923
Diamonds,msbm,0.19083311559734256,0.210355287109444,4.172133518960245,0.08323830716585467,,,0.001589811064860215,0.028964229555897142,40.95746898651123,,,,,1,0.9823572585429362,-0.02285384883042596,-102.32642947682025,-1.0052111073733623
Diamonds,msbm,0.18835506591103554,0.2838616175179395,4.255171063521336,0.08213426972120186,,,0.0007556263219239539,0.02820751635127021,41.057944536209106,,,,,2,0.9812038029102261,-0.0631946625226687,-106.44052360327538,-1.0443984654328948
Diamonds,msbm,0.18714317241781084,0.34121558839366767,4.294935351082036,0.08146538431479283,,,0.0008029562988638943,0.030566801965195123,40.91171216964722,,,,,3,0.9831265557910289,0.001060663172375742,-99.89211326190632,-0.9820658926186532
Diamonds,msbm,0.1886783032121584,0.26512082904558076,4.1459409097312445,0.083770500826234,,,0.0012395584303892208,0.025371344750405134,42.71259260177612,,,,,4,0.9832623874797539,0.002101255933834034,-99.78629753760643,-0.9811611315459199
Diamonds,msbm,0.1890618325730145,0.28821850347345845,4.23384150222682,0.083006344302679,,,0.0010421879382456827,0.028760260595042348,41.282913494110105,,,,,mean,0.9826118796671122,-0.03372892337241238,-103.4337010985162,-1.0163408030395247
Real Estate,msbm,0.2548332901735224,1.2239363207649818,2.1357281603583824,0.039124151802745866,0.10221597993819719,0.0,,,1.4623656272888184,,,,,0,0.7489588762806234,-0.13450944491275307,-117.95952343615117,-0.8834683211933765
Real Estate,msbm,0.2639657875625176,0.8382656179783058,2.0558105255439565,0.056876889310344625,0.2343308314885403,0.0,,,1.3918144702911377,,,,,1,0.6762311285265897,-0.19190817287987727,-128.37907998970965,-0.868139301406467
